date;trend;replies;likes;caption
10/3/19, 05:38 PM;;0;0;$HNNMY - Swap HENNES MAURITZ with V F ($VFC)?. macroaxis.com/invest/market... #portfolio_prospective #better_portfolio #diversify
10/3/19, 04:59 PM;;0;0;$NAKD I think because $HNNMY has been doing good in Europe. that's why $NAKD is doing well too. I'm guessing that there will be reverse split anyway in order to stay on the list. I want to say it will stay around .06 for some time.
10/3/19, 02:13 PM;;0;0;$HNNMY Hennes & Mauritz: Q3 GAAP EPS of SEK2.33.Revenue of SEK62.57B misses by SEK460M. newsfilter.io/articles/henn...
10/3/19, 01:39 PM;;0;0;"$HNNMY Hennes & Mauritz AB rallies after posting profit of 3.9B Swedish kronor in Q3 vs. 3.1B Swedish kronor a year ago. It was the first time in two years that H&M increased quarterly profit. ""The continued development of more full-price sales and r.. newsfilter.io/articles/henn..."
10/3/19, 10:25 AM;;0;0;Strong summer sales makes H&M’s profit jump 25% $HNNMY #HNNMY marketbeat.com/articles/str...
10/3/19, 01:05 AM;;0;0;"$HNNMY Earnings Call Tomorrow: 3:00 AM EST 
Analyst Rating: Hold 
Webcast: emea.directeventreg.com/reg..."
9/30/19, 10:45 PM;;0;0;Forever 21 bankruptcy reflects teens' new shopping behavior $HNNMY #HNNMY marketbeat.com/articles/for...
9/30/19, 04:21 AM;;0;0;Forever 21 fashion chain files for Chapter 11 bankruptcy $HNNMY #HNNMY marketbeat.com/articles/for...
9/28/19, 01:00 PM;;0;0;Updated correlation matrix for American States($AWR), HENNES MAURITZ($HNNMY),… macroaxis.com/invest/market... #canada #canadian_equities #CA
9/12/19, 11:04 AM;;0;0;$HNNMY - Strong transformation in Typical Price for HENNES MAURITZ is detected macroaxis.com/invest/Price-...
9/6/19, 11:11 AM;;0;0;H&M stops buying leather from Brazil over Amazon fires $HNNMY #HNNMY marketbeat.com/articles/hm-...
8/28/19, 03:40 PM;Bullish;0;0;$HNNMY There it is
8/28/19, 02:57 PM;;0;0;HENNES & MAURIT/ADR upgraded by Royal Bank of Canada to outperform. marketbeat.com/stocks/OTCMK... $HNNMY
8/27/19, 05:25 PM;Bullish;0;0;$HNNMY Its comin
8/22/19, 01:51 PM;;0;0;Jefferies Financial Group Sets HENNES & MAURIT/ADR Q3 2019 Earnings Estimates at $0.05 EPS. marketbeat.com/x/715519 $HNNMY
8/16/19, 05:31 AM;;0;0;$UNF - Keep Unifirst vs. HENNES MAURITZ ($HNNMY) in the same… macroaxis.com/invest/compar... #portfolio_prospective #better_portfolio #diversify
7/24/19, 05:16 AM;;0;0;$HNNMY - Strong transformation in Median Price for H M is detected macroaxis.com/invest/Price-...
7/11/19, 10:58 PM;;0;0;$HNNMY - Should I favor H M short term?
7/8/19, 06:49 AM;;0;0;$HNNMY - Should I speculate on H M short term? macroaxis.com/invest/market...
6/27/19, 05:18 PM;Bullish;0;0;$HNNMY just the beginning of a long journey north. Another buying opportunity 🧢
6/26/19, 07:04 AM;;0;0;HENNES & MAURIT/ADR to release earnings before the market opens on Thursday. Analysts expect 0.06 EPS.  $HNNMY https://www.marketbeat.com/p
6/3/19, 07:07 AM;;0;0;Jefferies Financial Group Sets HENNES & MAURIT/ADR Q2 2019 Earnings Estimates at $0.06 EPS. marketbeat.com/x/677244 $HNNMY
5/22/19, 01:36 PM;;0;0;$HNNMY div. rate decreased > 3% (ADR/Hennes & Mauritz AB) dividendinvestor.com/divide...
5/8/19, 04:11 PM;;0;0;HENNES & MAURIT/ADR initiated by BNP Paribas at outperform. marketbeat.com/stocks/OTCMK... $HNNMY
3/29/19, 10:18 AM;;0;0;H&M profit drops, sales go up in India mainly $HNNMY #HNNMY marketbeat.com/articles/hm-...
3/28/19, 06:04 AM;;0;0;HENNES & MAURIT/ADR to release earnings before the market opens on Friday. Analysts expect 0.01 EPS.  $HNNMY marketbeat.com/p/4
3/6/19, 01:48 PM;;0;0;Jefferies Financial Group Sets HENNES & MAURIT/ADR Q1 2019 Earnings Estimates at $0.01 EPS. americanbankingnews.com/201... $HNNMY
2/17/19, 07:44 PM;;0;0;Retailers, fashion brands struggle with racial insensitivity $HNNMY #HNNMY marketbeat.com/articles/ret...
2/13/19, 02:31 PM;;0;0;HENNES & MAURIT/ADR announces Annual dividend of $0.071.  Payable on 5/29/2019. 2.35% Yield.  marketbeat.com/stocks/OTCMK... $HNNMY
