date,sentiment_neg,sentiment_neu,sentiment_pos
2019-07-30 19:54:12+00:00,"0,0","1,0","0,0"
2019-07-30 19:53:46+00:00,"0,0","0,757","0,243"
2019-07-30 19:48:45+00:00,"0,0","0,798","0,202"
2019-07-30 19:47:28+00:00,"0,368","0,632","0,0"
2019-07-30 19:45:24+00:00,,,
2019-07-30 19:45:04+00:00,"0,0","0,89","0,11"
2019-07-30 19:44:50+00:00,,,
2019-07-30 19:44:41+00:00,,,
2019-07-30 19:44:32+00:00,,,
2019-07-30 19:44:11+00:00,"0,167","0,833","0,0"
2019-07-30 19:44:06+00:00,"0,215","0,665","0,121"
2019-07-30 19:43:32+00:00,"0,0","0,815","0,185"
2019-07-30 19:40:07+00:00,,,
2019-07-30 19:32:03+00:00,"0,0","1,0","0,0"
2019-07-30 19:31:06+00:00,,,
2019-07-30 19:31:06+00:00,,,
2019-07-30 19:30:05+00:00,"0,103","0,897","0,0"
2019-07-30 19:29:12+00:00,"0,0","0,921","0,079"
2019-07-30 19:25:05+00:00,"0,22","0,671","0,11"
2019-07-30 19:25:05+00:00,"0,269","0,597","0,134"
2019-07-30 19:25:04+00:00,"0,269","0,597","0,134"
2019-07-30 19:06:04+00:00,"0,0","1,0","0,0"
2019-07-30 19:04:27+00:00,,,
2019-07-30 19:03:01+00:00,"0,0","1,0","0,0"
2019-07-30 19:01:48+00:00,"0,046","0,872","0,082"
2019-07-30 19:00:54+00:00,"0,0","1,0","0,0"
2019-07-30 19:00:01+00:00,"0,0","0,849","0,151"
2019-07-30 18:52:31+00:00,,,
2019-07-30 18:45:23+00:00,,,
2019-07-30 18:43:27+00:00,"0,0","0,874","0,126"
2019-07-30 18:39:57+00:00,"0,0","1,0","0,0"
2019-07-30 18:33:38+00:00,"0,0","1,0","0,0"
2019-07-30 18:33:01+00:00,"0,0","0,837","0,163"
2019-07-30 18:32:32+00:00,"0,0","1,0","0,0"
2019-07-30 18:25:07+00:00,"0,269","0,597","0,134"
2019-07-30 18:25:04+00:00,"0,269","0,597","0,134"
2019-07-30 18:25:04+00:00,"0,269","0,597","0,134"
2019-07-30 18:24:45+00:00,"0,0","1,0","0,0"
2019-07-30 18:07:14+00:00,"0,148","0,748","0,104"
2019-07-30 18:06:50+00:00,,,
